canonical_name,pybamm_key,unit,required_for_spm,required_for_spme,required_for_dfn,physical_group,role,source_class,value_or_range,uncertainty_status,temperature,source_ref,match_grade,comment
cation_transference,Cation transference number,1,N,Y,Y,electrolyte transport,prior,C,generic 1 M LiPF6 value (0.26-0.4),medium,RT,generic,C,See electrolyte diffusivity.
electrolyte_conductivity,Electrolyte conductivity [S.m-1],S.m-1,N,Y,Y,electrolyte transport,prior,C,UNKNOWN -> generic 1 M LiPF6 model,medium,RT,generic 1 M LiPF6 (carbonate),C,See electrolyte diffusivity.
electrolyte_diffusivity,Electrolyte diffusivity [m2.s-1],m2.s-1,N,Y,Y,electrolyte transport,prior,C,UNKNOWN (SINTEF electrolyte not disclosed) -> 1 M LiPF6 generic transport model,medium (C/50 slow scan -> small concentration polarisation),RT,generic 1 M LiPF6 (carbonate),C,Composition anchor ae94f3: 1 M LiPF6 EC:DEC 1:1; transport values generic.
electrolyte_thermodynamic_factor,Thermodynamic factor,1,N,Y,Y,electrolyte transport,prior,C,generic (1 or mild concentration dependence),medium,RT,generic,C,Concentrated-solution correction; often folded into diffusivity.
initial_electrolyte_concentration,Initial concentration in electrolyte [mol.m-3],mol.m-3,Y,Y,Y,electrolyte transport,prior,C,"1000 (1 M LiPF6; ae94f3 exact, acfc66 1 M)",low-medium,RT,"ae94f3 Table II (1000, exp. data sheet)",B2,Bulk electrolyte concentration reference; enters exchange-current density.
positive_brug_ele,Positive electrode Bruggeman coefficient (electrolyte),1,N,Y,Y,electrolyte transport,prior,C,1.5 (default) UNKNOWN,medium,RT,generic Bruggeman,C,Tortuosity exponent for effective electrolyte transport inside the electrode.
separator_brug_ele,Separator Bruggeman coefficient (electrolyte),1,N,Y,Y,electrolyte transport,prior,C,1.5 (default),medium,RT,generic Bruggeman,C,Effective electrolyte transport across separator.
separator_porosity,Separator porosity,1,N,Y,Y,electrolyte transport,prior,U,UNKNOWN -> Celgard-type 0.39-0.40 (ae94f3 2325 spec),medium,RT,ae94f3 separator spec; acfc66 0.37,B2,SINTEF record does not disclose separator.
contact_resistance,Contact resistance [Ohm],Ohm,Y,Y,Y,electronic transport,prior,U,UNKNOWN (platform option 'contact resistance: true' enabled),medium (terminal voltage offset),RT,not measured in record,U,H0 wiring kept this option on; a SINTEF value does not exist. 0-Ohm start + sensitivity in H1-D0.
lithium_counter_conductivity,Negative electrode conductivity [S.m-1],S.m-1,N,N,Y,electronic transport,prior,C,"high (Li metal, ~1e7); value far from limiting","low (excess Li, high conductivity)",RT,generic Li metal,C,DFN solid-potential PDE in the Li counter region.
