canonical_name,pybamm_key,physical_group,reason,suggested_path
separator_porosity,Separator porosity,electrolyte transport,separator not disclosed,H1-D0 zero-fit sensitivity; download SINTEF GITT ONLY if this key becomes the dominant evidence gap
contact_resistance,Contact resistance [Ohm],electronic transport,no SINTEF value exists; option enabled in H0 wiring,H1-D0 zero-fit sensitivity; download SINTEF GITT ONLY if this key becomes the dominant evidence gap
positive_electrode_conductivity,Positive electrode conductivity [S.m-1],electronic transport,electronic conductivity not disclosed,H1-D0 zero-fit sensitivity; download SINTEF GITT ONLY if this key becomes the dominant evidence gap
active_mass_loading,(conceptual) active material mass loading,geometry/loading,metadata mass/coating/wt% columns blank for LFP rows,H1-D0 zero-fit sensitivity; download SINTEF GITT ONLY if this key becomes the dominant evidence gap
positive_active_volume_fraction,Positive electrode active material volume fraction,geometry/loading,active fraction not disclosed; product degeneracy with dx (capacity_closure.csv),H1-D0 zero-fit sensitivity; download SINTEF GITT ONLY if this key becomes the dominant evidence gap
positive_electrode_porosity,Positive electrode porosity,geometry/loading,SINTEF electrode microstructure not disclosed (porosity blank in metadata),H1-D0 zero-fit sensitivity; download SINTEF GITT ONLY if this key becomes the dominant evidence gap
separator_thickness,Separator thickness [m],geometry/loading,separator not disclosed,H1-D0 zero-fit sensitivity; download SINTEF GITT ONLY if this key becomes the dominant evidence gap
initial_positive_concentration,Initial concentration in positive electrode [mol.m-3],initialization,initial state not inverted in H1-B/H1-C (measured V0 only),H1-D0 zero-fit sensitivity; download SINTEF GITT ONLY if this key becomes the dominant evidence gap
initial_stoichiometry_x0,(conceptual) initial stoichiometry x0,initialization,stoichiometry inversion belongs to H1-D layer,H1-D0 zero-fit sensitivity; download SINTEF GITT ONLY if this key becomes the dominant evidence gap
stoichiometry_window_dx,(conceptual) stoichiometry window dx,initialization,x-window depends on chosen OCP in H1-D,H1-D0 zero-fit sensitivity; download SINTEF GITT ONLY if this key becomes the dominant evidence gap
positive_exchange_current,Positive electrode exchange-current density [A.m-2],kinetics,kinetics not measured by SINTEF record,H1-D0 zero-fit sensitivity; download SINTEF GITT ONLY if this key becomes the dominant evidence gap
positive_reaction_rate,Positive electrode reaction rate [A.m-2.(m3.mol-1)^1.5],kinetics,kinetics not measured; acfc66 k0 needs unit conversion to i0 form,H1-D0 zero-fit sensitivity; download SINTEF GITT ONLY if this key becomes the dominant evidence gap
positive_particle_diffusivity,Positive particle diffusivity [m2.s-1],solid transport,Ds not measured by SINTEF record; external spread covers orders of magnitude,H1-D0 zero-fit sensitivity; download SINTEF GITT ONLY if this key becomes the dominant evidence gap
positive_particle_radius,Positive particle radius [m],solid transport,particle size not disclosed (commercial electrode),H1-D0 zero-fit sensitivity; download SINTEF GITT ONLY if this key becomes the dominant evidence gap
